[2019-03-12T19:40:20-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-12T20:16:26-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-12T20:17:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-12T20:17:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-12T20:19:23-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-12T20:19:23-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-12T20:19:29-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-12T20:19:29-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region202; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T09:09:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T09:09:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T09:36:48-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T09:36:48-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T09:37:28-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T09:37:28-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T12:02:51-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T12:02:51-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T12:02:55-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T12:02:55-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T12:27:14-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T12:27:14-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T15:34:20-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T15:34:20-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T15:37:33-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T15:37:33-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:05:04-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:05:04-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:10:06-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:10:07-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:10:37-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:10:37-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:11:03-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:11:03-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:12:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:12:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:14:14-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:14:14-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:23:33-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:23:33-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:23:42-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:23:42-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:26:47-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:26:47-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:30:20-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:30:20-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:30:46-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:30:46-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:34:57-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:34:57-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:35:22-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:35:22-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:40:32-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:40:32-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-14T22:20:10-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T22:20:10-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T08:20:07-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-15T08:20:07-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-15T08:21:01-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T08:21:01-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T08:24:23-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-15T08:24:23-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-15T08:24:38-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T08:24:38-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T08:33:24-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-15T08:33:24-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-15T15:17:06-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T15:17:06-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T15:19:31-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-15T15:19:31-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-15T18:21:45-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T18:21:45-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T18:24:22-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-15T18:24:22-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-15T19:42:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T19:42:11-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T19:45:28-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-15T19:45:28-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-15T22:12:25-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-15T22:12:25-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-16T09:51:51-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-16T09:51:51-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-16T15:37:25-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-16T15:37:25-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTBIGEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-25T05:26:55-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: TESTBIGEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-25T05:26:55-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: TESTBIGEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
