[2019-03-12T19:35:18-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region201; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-12T19:39:17-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region201; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-12T19:39:35-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region201; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-12T19:39:35-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 8561deffb9; save: region201; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-13T14:17:36-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-13T14:17:36-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-13T14:23:42-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-13T14:24:01-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_UNLOADED; game type NONE (11)
[2019-03-13T14:24:09-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-13T14:27:13-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-13T14:27:34-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-13T14:28:42-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-13T15:22:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-13T15:22:00-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-13T15:23:51-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-13T15:23:51-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-13T16:40:16-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-13T16:40:16-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-13T18:05:02-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-13T18:05:02-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-14T16:14:37-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-14T16:14:37-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-16T15:39:58-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-16T15:39:58-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-16T15:40:31-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-16T15:40:31-0600] DFHack 0.44.12-r2-0-g315852a2 on Linux; cwd md5: 3c6947e257; save: TESTSMALLEMBARK; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
